Pclass,Sex,Age_clean,SibSp,Parch,Fare,Cabin,Embarked
3,1,29.69911764705882,8,2,69.55,54,2
2,0,2.0,1,1,26.0,54,2
2,0,14.0,1,0,30.0708,54,0
2,1,54.0,1,0,26.0,54,2
3,0,15.0,0,0,8.0292,54,1
1,0,22.0,0,1,55.0,28,2
2,1,27.0,0,0,13.0,54,2
3,1,29.69911764705882,0,0,7.8958,54,2
1,1,29.69911764705882,0,0,39.6,54,0
2,0,28.0,1,0,24.0,54,0
3,1,39.0,0,0,7.925,54,2
2,1,2.0,1,1,26.0,48,2
3,1,24.0,1,0,16.1,54,2
3,1,32.0,0,0,7.8958,54,2
3,1,45.5,0,0,7.225,54,0
2,0,8.0,0,2,26.25,54,2
3,1,26.0,1,2,20.575,54,2
1,0,29.0,0,0,211.3375,74,2
2,0,45.0,1,1,26.25,54,2
3,0,36.0,1,0,17.4,54,2
1,1,29.69911764705882,0,0,26.0,71,2
3,0,4.0,0,2,22.025,54,2
2,1,16.0,0,0,26.0,54,2
1,1,58.0,0,0,29.7,66,0
3,1,40.5,0,2,14.5,54,2
3,1,25.0,0,0,7.65,47,2
3,1,29.69911764705882,0,0,7.8958,54,2
3,1,51.0,0,0,7.0542,54,2
2,1,29.69911764705882,0,0,0.0,54,2
3,0,17.0,4,2,7.925,54,2
3,1,29.69911764705882,0,0,6.95,54,1
3,1,40.0,1,1,15.5,54,1
3,1,25.0,0,0,0.0,54,2
1,1,47.0,0,0,25.5875,38,2
1,1,29.69911764705882,0,0,26.55,100,2
2,1,44.0,1,0,26.0,54,2
1,0,23.0,3,2,263.0,108,2
2,1,18.0,0,0,11.5,54,2
2,1,29.0,1,0,21.0,54,2
3,1,12.0,1,0,11.2417,54,0
3,1,11.0,0,0,18.7875,54,0
3,0,22.0,0,0,7.75,54,1
2,1,19.0,0,0,10.5,54,2
3,1,22.0,1,0,7.25,54,2
3,1,33.0,0,0,7.8958,54,2
1,1,56.0,0,0,26.55,54,2
2,1,1.0,0,2,37.0042,54,0
3,1,22.0,0,0,7.7958,54,2
3,1,29.69911764705882,0,0,7.2292,54,0
3,1,29.69911764705882,0,0,7.75,54,1
3,1,7.0,4,1,29.125,54,1
3,0,4.0,0,1,13.4167,54,0
3,1,65.0,0,0,7.75,54,1
2,1,18.0,0,0,13.0,54,2
3,1,20.0,1,1,15.7417,54,0
2,1,24.0,2,0,73.5,54,2
3,1,29.69911764705882,0,0,7.225,54,0
2,0,34.0,0,0,10.5,49,2
3,0,29.69911764705882,0,0,7.75,54,1
1,0,31.0,0,2,164.8667,122,2
3,1,30.0,0,0,7.8958,54,2
2,1,18.0,0,0,11.5,54,2
3,0,9.0,3,2,27.9,54,2
1,0,39.0,1,1,79.65,40,2
1,0,33.0,1,0,53.1,43,2
1,1,65.0,1,1,71.0,61,2
1,0,24.0,0,0,69.3,65,0
1,0,58.0,0,1,153.4625,101,2
3,1,21.0,0,0,7.8542,54,2
1,0,17.0,1,0,108.9,120,0
3,0,28.0,1,1,14.4,54,2
1,0,24.0,0,0,83.1583,118,0
3,1,29.69911764705882,0,0,7.225,54,0
3,1,29.69911764705882,1,0,15.5,54,1
3,1,42.0,0,0,8.6625,54,2
3,1,18.0,1,0,6.4958,54,2
3,0,2.0,0,1,12.2875,54,2
2,0,34.0,0,0,13.0,54,2
3,1,3.0,4,2,31.3875,54,2
1,0,58.0,0,0,146.5208,86,0
3,1,32.0,0,0,7.75,54,1
3,1,31.0,0,0,7.925,54,2
3,1,29.69911764705882,0,0,7.775,54,2
2,0,27.0,1,0,13.8583,54,0
3,1,11.0,5,2,46.9,54,2
2,1,23.0,0,0,13.0,54,2
1,1,40.0,0,0,0.0,89,2
3,1,29.69911764705882,0,0,7.2292,54,0
3,0,28.0,0,0,7.8958,54,2
2,0,28.0,0,0,13.0,54,2
3,1,29.69911764705882,1,0,19.9667,54,2
3,1,19.0,0,0,10.1708,54,2
3,0,30.0,1,1,24.15,54,2
3,1,20.0,0,0,7.8542,54,2
3,1,28.0,0,0,56.4958,54,2
3,1,36.0,0,0,0.0,54,2
3,1,29.69911764705882,0,0,8.05,54,2
1,0,24.0,3,2,263.0,108,2
3,1,28.5,0,0,7.2292,54,0
3,0,24.0,0,3,19.2583,54,0
2,1,42.0,0,0,13.0,54,2
1,1,54.0,0,1,77.2875,146,2
3,1,25.0,0,0,7.7417,54,1
3,1,7.0,4,1,39.6875,54,2
3,1,25.0,1,0,17.8,54,2
3,0,27.0,0,1,12.475,22,2
3,0,24.0,1,0,15.85,54,2
3,1,29.69911764705882,0,0,7.25,54,2
2,0,28.0,0,0,12.65,54,2
3,1,19.0,0,0,14.5,54,2
3,1,22.0,0,0,7.25,54,2
3,0,29.69911764705882,0,0,7.225,54,0
3,0,29.69911764705882,8,2,69.55,54,2
1,1,42.0,0,0,26.2875,25,2
2,1,50.0,0,0,13.0,54,2
2,1,3.0,1,1,18.75,54,2
1,1,29.69911764705882,0,0,227.525,54,0
3,0,18.0,2,0,18.0,54,2
3,1,18.0,1,1,7.8542,54,2
1,1,44.0,2,0,90.0,124,1
1,1,29.69911764705882,0,0,30.0,8,2
1,1,29.69911764705882,0,0,42.4,54,2
3,1,29.69911764705882,1,0,24.15,54,1
3,1,16.0,0,0,7.775,54,2
3,1,29.69911764705882,0,0,7.3125,54,2
3,1,22.0,0,0,7.8958,54,2
2,0,4.0,1,1,23.0,54,2
2,1,29.69911764705882,0,0,13.0,54,2
3,1,24.0,0,0,7.1417,54,2
2,0,30.0,0,0,12.35,54,1
3,0,29.0,0,2,15.2458,54,0
3,1,24.0,0,0,9.5,54,2
1,0,45.0,1,1,164.8667,54,2
2,0,32.0,0,0,13.0,54,2
3,1,21.0,0,0,7.925,54,2
1,1,35.0,0,0,512.3292,55,0
3,0,29.69911764705882,8,2,69.55,54,2
3,1,29.69911764705882,2,0,23.25,54,1
1,1,36.0,0,1,512.3292,76,0
3,0,41.0,0,5,39.6875,54,2
3,0,23.0,0,0,7.55,54,2
3,1,34.0,1,1,14.4,54,2
2,0,29.69911764705882,0,0,33.0,54,2
3,1,29.69911764705882,0,0,24.15,54,1
3,0,15.0,0,0,7.225,54,0
3,1,29.69911764705882,0,0,8.05,54,2
3,0,18.0,0,0,7.775,54,2
3,1,30.0,0,0,8.05,54,2
2,1,32.0,2,0,73.5,54,2
3,1,4.0,4,1,29.125,54,1
3,1,2.0,4,1,29.125,54,1
3,1,29.69911764705882,0,0,8.05,54,2
3,1,29.69911764705882,2,0,21.6792,54,0
1,0,48.0,0,0,25.9292,142,2
3,1,31.0,0,0,7.75,54,1
1,1,47.0,0,0,34.0208,9,2
3,0,26.0,1,0,16.1,54,2
3,1,9.0,5,2,46.9,54,2
3,1,19.0,0,0,8.05,54,2
3,1,29.69911764705882,0,0,8.05,54,2
3,1,22.0,0,0,9.35,54,2
3,1,29.69911764705882,0,0,7.225,54,0
2,1,28.0,0,1,33.0,54,2
2,0,24.0,2,3,18.75,54,2
3,1,17.0,0,0,8.6625,54,2
3,1,29.69911764705882,1,0,15.5,54,1
3,0,29.69911764705882,3,1,25.4667,54,2
3,1,21.0,0,0,8.05,54,2
1,1,51.0,0,0,26.55,23,2
3,0,3.0,3,1,21.075,54,2
3,0,0.75,2,1,19.2583,54,0
3,1,29.69911764705882,0,0,7.2292,54,0
3,1,34.0,0,0,8.05,54,2
2,0,18.0,0,1,23.0,54,2
1,0,44.0,0,0,27.7208,69,0
3,1,29.69911764705882,0,0,14.5,54,2
3,1,29.69911764705882,0,0,9.5,54,2
3,0,37.0,0,0,9.5875,54,2
2,1,21.0,1,0,11.5,54,2
1,1,36.0,1,0,78.85,112,2
3,1,32.0,0,0,7.925,54,2
3,0,29.69911764705882,1,2,23.45,54,2
3,1,26.0,0,0,7.775,54,2
1,1,65.0,0,0,30.0,93,2
3,1,55.5,0,0,8.05,54,2
2,1,60.0,1,1,39.0,54,2
3,1,29.69911764705882,0,0,7.7333,54,1
3,1,18.0,0,0,7.775,54,2
3,0,14.5,1,0,14.4542,54,0
2,1,19.0,0,0,10.5,54,2
2,0,4.0,2,1,39.0,51,2
3,1,33.0,0,0,8.6542,54,2
3,1,21.0,0,0,7.7333,54,1
3,0,10.0,0,2,24.15,54,2
2,1,47.0,0,0,15.0,54,2
3,0,2.0,4,2,31.275,54,2
2,0,29.0,1,0,26.0,54,2
1,0,22.0,1,0,66.6,106,2
3,1,28.0,1,0,15.85,54,2
1,1,29.69911764705882,0,0,29.7,113,0
3,1,26.0,0,0,18.7875,54,0
3,1,33.0,0,0,9.5,54,2
2,0,27.0,0,0,10.5,20,2
3,0,27.0,0,2,11.1333,54,2
2,1,34.0,0,0,13.0,54,2
3,1,29.69911764705882,0,0,7.2292,54,0
1,1,30.0,0,0,27.75,97,0
3,1,30.0,1,0,16.1,54,2
2,0,29.69911764705882,0,0,12.35,20,1
3,1,29.69911764705882,0,0,7.775,54,2
1,0,53.0,2,0,51.4792,91,2
3,1,32.0,0,0,7.925,54,2
2,1,52.0,0,0,13.0,54,2
1,1,52.0,1,1,79.65,40,2
3,0,39.0,1,5,31.275,54,2
1,0,2.0,1,2,151.55,107,2
3,1,44.0,0,0,7.925,54,2
2,1,51.0,0,0,12.525,54,2
2,1,39.0,0,0,26.0,54,2
1,1,46.0,0,0,79.2,87,0
1,1,17.0,0,2,110.8833,123,0
3,1,30.0,0,0,8.05,54,2
3,0,9.0,2,2,34.375,54,2
3,1,27.0,0,0,7.7958,54,2
3,1,21.0,0,0,8.6625,54,2
3,1,29.69911764705882,0,0,56.4958,54,2
3,1,26.0,0,0,7.8958,54,2
3,1,3.0,1,1,15.9,54,2
2,1,48.0,0,0,13.0,54,2
1,0,36.0,0,0,135.6333,110,0
3,0,29.69911764705882,1,0,15.5,54,1
2,0,32.5,0,0,13.0,20,2
1,0,33.0,0,0,86.5,83,2
2,0,22.0,1,2,41.5792,54,0
3,1,19.0,0,0,6.75,54,1
3,1,65.0,0,0,7.775,54,2
3,1,42.0,0,1,8.4042,54,2
1,0,40.0,0,0,153.4625,101,2
3,0,35.0,1,1,20.25,54,2
3,0,24.0,0,0,8.85,54,2
3,1,39.0,0,0,7.925,54,2
2,1,32.5,1,0,30.0708,54,0
2,1,1.0,2,1,39.0,51,2
3,1,34.0,0,0,6.4958,54,2
1,1,64.0,1,4,263.0,108,2
3,0,25.0,0,0,7.775,54,2
3,0,29.69911764705882,0,0,8.05,54,2
3,1,1.0,1,2,20.575,54,2
3,1,45.0,0,0,6.975,54,2
2,1,31.0,1,1,26.25,54,2
3,0,21.0,1,0,9.825,54,2
3,1,25.0,0,0,7.8958,54,2
1,0,15.0,0,1,211.3375,74,2
3,1,26.0,0,0,7.8875,54,2
2,1,30.0,0,0,10.5,54,2
1,0,24.0,0,0,69.3,65,0
2,1,35.0,0,0,10.5,54,2
2,1,65.0,0,0,10.5,54,2
1,1,29.69911764705882,0,0,0.0,56,2
3,1,21.0,0,0,16.1,54,2
3,0,18.0,0,1,9.35,54,2
3,0,29.69911764705882,0,0,8.1375,54,1
3,1,1.0,5,2,46.9,54,2
3,0,29.69911764705882,8,2,69.55,54,2
3,1,26.0,0,0,56.4958,54,2
3,1,25.0,1,0,7.775,54,2
2,1,29.69911764705882,0,0,0.0,54,2
3,1,20.0,0,0,9.5,54,2
1,0,54.0,1,0,78.2667,144,0
3,1,22.0,0,0,8.05,54,2
2,1,59.0,0,0,13.5,54,2
2,0,54.0,1,3,23.0,54,2
1,1,27.0,0,0,30.5,54,2
1,1,31.0,1,0,52.0,80,2
1,1,22.0,0,0,135.6333,54,0
1,1,33.0,0,0,5.0,76,2
3,1,6.0,0,1,12.475,22,2
3,0,5.0,4,2,31.3875,54,2
1,1,39.0,0,0,0.0,13,2
3,1,24.5,0,0,8.05,54,2
2,1,54.0,0,0,14.0,54,2
3,1,29.69911764705882,0,0,7.55,54,2
3,1,29.69911764705882,0,0,7.8958,54,2
3,1,30.0,0,0,7.2292,54,0
3,0,29.69911764705882,0,0,7.8792,54,1
1,0,35.0,0,0,512.3292,54,0
1,0,21.0,0,0,77.9583,18,2
1,1,32.0,0,0,30.5,75,0
3,1,16.0,0,0,9.5,54,2
3,0,22.0,0,0,7.25,54,2
3,1,29.69911764705882,0,0,7.8958,54,2
1,1,38.0,1,0,90.0,134,2
3,1,29.69911764705882,8,2,69.55,54,2
2,1,25.0,1,0,26.0,54,2
2,0,33.0,1,2,27.75,54,2
3,0,29.69911764705882,1,0,16.1,54,2
1,1,18.0,1,0,108.9,120,0
3,1,29.69911764705882,1,0,16.1,54,2
3,1,29.69911764705882,0,0,7.8958,54,2
3,1,2.0,4,1,39.6875,54,2
3,1,0.42,0,1,8.5167,54,0
2,1,26.0,0,0,10.5,54,2
3,1,41.0,0,0,7.125,54,2
1,1,48.0,1,0,76.7292,4,0
2,0,48.0,1,2,65.0,54,2
1,0,48.0,1,0,39.6,60,0
3,1,4.0,4,2,31.275,54,2
1,0,39.0,1,0,55.9,33,2
3,0,33.0,3,0,15.85,54,2
2,1,29.0,0,0,10.5,54,2
1,1,49.0,1,1,110.8833,121,0
3,1,29.69911764705882,8,2,69.55,54,2
3,1,29.69911764705882,0,0,7.2292,54,0
1,1,42.0,1,0,52.0,54,2
1,0,36.0,0,2,71.0,61,2
1,1,61.0,0,0,33.5,58,2
3,0,18.0,0,0,6.75,54,1
3,0,18.0,0,0,7.4958,54,2
2,1,0.67,1,1,14.5,54,2
3,1,32.0,0,0,56.4958,54,2
3,1,29.69911764705882,0,0,8.05,54,2
3,1,29.69911764705882,0,0,8.05,54,2
3,0,29.69911764705882,1,0,14.4542,54,0
3,1,16.0,0,0,8.05,54,2
1,1,31.0,1,0,57.0,59,2
1,1,48.0,0,0,26.55,21,2
3,1,22.0,0,0,7.225,54,0
3,0,13.0,0,0,7.2292,54,0
3,1,32.0,1,0,15.85,54,2
3,1,28.0,2,0,7.925,54,2
2,1,46.0,0,0,26.0,54,2
3,1,28.0,0,0,7.7958,54,2
2,1,42.0,1,0,27.0,54,2
3,1,35.0,0,0,8.05,54,2
3,0,2.0,3,2,27.9,54,2
3,0,31.0,0,0,8.6833,54,2
3,0,29.69911764705882,1,0,15.5,54,1
3,1,29.69911764705882,0,0,7.8958,54,2
2,0,19.0,1,0,26.0,54,2
3,1,20.0,0,0,8.6625,54,2
3,1,14.0,5,2,46.9,54,2
2,0,34.0,0,1,23.0,54,2
3,0,29.69911764705882,0,0,7.7375,54,1
3,0,29.69911764705882,0,0,7.75,54,1
3,1,51.0,0,0,7.75,54,2
3,0,29.69911764705882,0,0,7.6292,54,1
3,0,29.69911764705882,0,0,7.75,54,1
3,0,29.69911764705882,0,0,7.75,54,1
3,1,28.0,0,0,9.5,54,2
2,1,25.0,0,0,13.0,54,2
1,1,19.0,3,2,263.0,108,2
3,1,35.0,0,0,7.8958,54,0
1,0,35.0,1,0,83.475,127,2
3,1,9.0,1,1,15.9,54,2
3,1,20.0,0,0,4.0125,54,0
2,1,42.0,0,0,13.0,54,2
2,1,30.0,0,0,13.0,54,2
2,1,29.69911764705882,0,0,0.0,54,2
3,1,21.0,0,0,7.7958,54,2
3,1,47.0,0,0,7.25,54,2
1,0,25.0,1,2,151.55,107,2
3,1,16.0,0,0,9.2167,54,2
1,1,45.0,1,0,83.475,127,2
3,1,38.0,0,0,8.6625,54,2
1,1,56.0,0,0,35.5,115,0
3,0,29.69911764705882,1,1,22.3583,44,0
1,1,31.0,0,0,50.4958,104,2
1,0,30.0,0,0,93.5,81,2
1,1,29.69911764705882,0,0,27.7208,54,0
3,0,14.0,0,0,7.8542,54,2
3,0,16.0,0,0,7.7333,54,1
3,0,40.0,1,0,9.475,54,2
1,1,55.0,0,0,30.5,109,2
3,1,19.0,0,0,7.775,54,2
1,1,45.0,0,0,26.55,54,2
1,0,36.0,1,2,120.0,90,2
3,0,27.0,0,0,7.925,54,2
1,0,49.0,1,0,76.7292,4,0
1,0,41.0,0,0,134.5,32,0
1,1,19.0,1,0,53.1,3,2
3,1,33.0,0,0,7.775,54,2
1,1,27.0,1,0,53.1,43,2
1,1,29.69911764705882,0,0,27.7208,54,0
1,1,35.0,0,0,26.2875,25,2
3,0,29.0,1,1,10.4625,52,2
2,0,30.0,3,0,21.0,54,2
3,1,34.0,0,0,8.05,54,2
3,1,29.0,0,0,7.8958,54,0
1,0,19.0,0,0,30.0,72,2
1,0,35.0,0,0,135.6333,136,2
3,1,29.69911764705882,8,2,69.55,54,2
2,0,40.0,0,0,15.75,54,2
1,1,62.0,0,0,26.55,54,2
3,0,25.0,1,0,7.925,54,2
3,1,26.0,0,0,8.05,54,2
3,0,18.0,0,1,14.4542,54,0
2,1,34.0,1,0,21.0,54,2
3,1,48.0,0,0,7.8542,54,2
3,1,28.0,0,0,7.8958,54,2
3,1,24.0,2,0,24.15,54,2
2,0,17.0,0,0,12.0,54,0
1,0,38.0,1,0,71.2833,128,0
3,1,29.69911764705882,0,0,7.2292,54,0
3,1,40.0,0,0,7.8958,54,2
3,1,22.0,0,0,9.0,54,2
3,0,2.0,0,1,10.4625,52,2
1,1,28.0,1,0,82.1708,54,0
3,1,18.0,0,0,7.75,54,2
3,1,28.0,0,0,22.525,54,2
2,0,19.0,0,0,26.0,54,2
3,1,29.69911764705882,0,0,8.05,54,2
1,0,60.0,1,0,75.25,7,0
3,1,20.0,0,0,7.8542,54,2
1,1,45.0,0,0,35.5,53,2
3,0,29.69911764705882,0,0,8.05,54,2
2,0,24.0,0,0,13.0,49,2
3,1,29.69911764705882,0,0,7.75,50,1
3,0,29.69911764705882,1,0,15.5,54,1
3,1,39.0,1,5,31.275,54,2
3,0,26.0,0,0,7.8542,54,2
2,0,24.0,2,1,27.0,54,2
2,0,36.0,0,0,13.0,54,2
1,1,37.0,0,1,29.7,98,0
1,0,29.69911764705882,0,1,55.0,28,2
2,1,28.0,0,0,10.5,54,2
3,1,19.0,0,0,7.8958,54,2
3,1,43.0,0,0,6.45,54,2
1,1,25.0,1,0,91.0792,73,0
3,1,47.0,0,0,9.0,54,2
1,0,16.0,0,0,86.5,85,2
2,1,0.83,1,1,18.75,54,2
3,1,22.0,0,0,7.125,54,2
3,1,19.0,0,0,7.8958,54,2
2,1,28.0,0,0,13.5,54,2
3,1,14.0,4,1,39.6875,54,2
3,1,36.0,0,0,7.8958,54,2
1,1,29.0,0,0,30.0,16,2
3,1,42.0,0,0,7.65,45,2
1,1,29.69911764705882,0,0,52.0,1,2
1,1,27.0,0,0,76.7292,12,0
3,1,29.0,0,0,7.75,54,1
2,0,5.0,1,2,27.75,54,2
3,0,22.0,0,0,9.8375,54,2
3,1,29.69911764705882,0,0,7.75,54,1
2,0,30.0,0,0,13.0,54,2
1,1,62.0,0,0,26.55,130,2
2,1,34.0,0,0,13.0,15,2
3,1,28.0,0,0,7.8958,54,2
3,1,29.69911764705882,0,0,7.75,54,1
3,1,44.0,0,1,16.1,54,2
3,0,45.0,0,0,7.75,54,2
2,1,19.0,0,0,13.0,54,2
2,1,18.0,0,0,73.5,54,2
3,1,31.0,0,0,7.775,54,2
2,1,29.69911764705882,0,0,0.0,54,2
3,1,21.0,0,0,7.25,54,2
2,1,25.0,0,0,13.0,54,2
3,1,32.0,0,0,8.3625,54,2
2,1,30.0,1,0,24.0,54,0
3,1,40.0,0,0,7.225,54,0
3,1,33.0,0,0,7.8958,54,0
3,1,36.0,0,0,7.4958,54,2
1,0,47.0,1,1,52.5542,5,2
2,1,34.0,1,0,26.0,54,2
3,1,19.0,0,0,8.05,54,2
3,1,29.69911764705882,0,0,8.05,54,2
2,0,50.0,0,0,10.5,54,2
3,0,29.69911764705882,2,0,23.25,54,1
3,1,29.69911764705882,1,0,7.75,54,1
2,1,29.69911764705882,0,0,0.0,54,2
3,1,29.69911764705882,0,0,8.05,54,2
3,1,35.0,0,0,8.05,54,2
2,1,35.0,0,0,26.0,54,2
1,0,18.0,1,0,227.525,119,0
3,0,16.0,5,2,46.9,54,2
3,0,21.0,0,0,7.65,54,2
1,1,29.69911764705882,0,0,31.0,54,2
3,1,41.0,2,0,14.1083,54,2
1,0,14.0,1,2,120.0,90,2
1,1,21.0,0,1,77.2875,146,2
